Iteration,Training_Loss
1526,38226388.0
1527,7009099.5
1528,20918004.0
1529,10930667.0
1530,19286162.0
1531,14678349.0
1532,34850372.0
1533,4807634.5
1534,19900234.0
1535,1131716.0
1536,7835030.0
1537,36088016.0
1538,29937302.0
1539,14110007.0
1540,26316758.0
1541,5138127.0
1542,38042736.0
1543,7014052.0
1544,20829280.0
1545,10906998.0
1546,19259856.0
1547,14634267.0
1548,34791036.0
1549,4789069.5
1550,19814794.0
1551,1135547.1
1552,7813498.5
1553,36029756.0
1554,29875942.0
1555,14048894.0
1556,26194540.0
1557,5148663.0
1558,37861604.0
1559,7020067.0
1560,20742384.0
1561,10884065.0
1562,19234220.0
1563,14591457.0
1564,34732356.0
1565,4771985.0
1566,19730620.0
1567,1139847.8
1568,7792430.5
1569,35972640.0
1570,29817680.0
1571,13989798.0
1572,26074112.0
1573,5161372.0
1574,37682496.0
1575,7027348.5
1576,20656964.0
1577,10861742.0
1578,19209260.0
1579,14549693.0
1580,34674068.0
1581,4756383.5
1582,19647278.0
1583,1144648.5
1584,7771883.5
1585,35916972.0
1586,29762976.0
1587,13932286.0
1588,25955988.0
1589,5177247.0
1590,37506492.0
1591,7035743.5
1592,20573530.0
1593,10840243.0
1594,19184962.0
1595,14508766.0
1596,34616092.0
1597,4742535.5
1598,19565450.0
1599,1149831.9
1600,7751772.0
1601,35863016.0
1602,29711508.0
1603,13877212.0
1604,25840352.0
1605,5195651.5
1606,37332616.0
1607,7044947.0
1608,20491564.0
1609,10819476.0
1610,19161698.0
1611,14469205.0
1612,34558668.0
1613,4730298.5
1614,19484706.0
1615,1155474.8
1616,7732100.0
1617,35810784.0
1618,29664202.0
1619,13823612.0
1620,25726876.0
1621,5217135.5
1622,37161200.0
1623,7055311.0
1624,20411618.0
1625,10799220.0
1626,19139380.0
1627,14430668.0
1628,34501544.0
1629,4719930.0
1630,19405748.0
1631,1161556.4
1632,7712952.5
1633,35760264.0
1634,29620676.0
1635,13772315.0
1636,25616012.0
1637,5241774.0
1638,36992664.0
1639,7066460.5
1640,20333062.0
1641,10779756.0
1642,19118014.0
1643,14392904.0
1644,34444932.0
1645,4711497.0
1646,19328236.0
