draw,delta,Year,Month,NN,Sax,Mosley,date
14,0.0071093662710827845,2012,12,32.57299173375955,35.9403883964189,32.0475855850027,2012-12-01
14,0.0071093662710827845,2013,1,38.83283825435535,38.6598074655354,38.9376973635049,2013-01-01
14,0.0071093662710827845,2013,2,38.3741550089211,38.482854913421,39.6320176398373,2013-02-01
14,0.0071093662710827845,2013,3,34.293820865337665,38.9224580300009,39.0331014104391,2013-03-01
14,0.0071093662710827845,2013,4,36.56571942358592,37.6740779868615,40.1145563875472,2013-04-01
14,0.0071093662710827845,2013,5,37.13517009114929,40.2919060960009,40.1772863496426,2013-05-01
14,0.0071093662710827845,2013,6,39.32210220447341,44.9133973922323,39.6177304571196,2013-06-01
14,0.0071093662710827845,2013,7,42.597162596655814,44.2024921071675,39.0005855114321,2013-07-01
14,0.0071093662710827845,2013,8,39.7742756214987,43.4207795351011,39.7265644463031,2013-08-01
14,0.0071093662710827845,2013,9,40.23502634722758,35.4384949539802,38.1497664012638,2013-09-01
14,0.0071093662710827845,2013,10,40.58035243261107,32.408200446948,38.7856571306215,2013-10-01
14,0.0071093662710827845,2013,11,41.74441281348761,36.9096909339997,38.7432044559623,2013-11-01
14,0.0071093662710827845,2013,12,38.822188512346536,36.9530643104017,36.3590566179765,2013-12-01
14,0.0071093662710827845,2014,1,38.10664590762467,36.9706561174853,41.1461640241047,2014-01-01
14,0.0071093662710827845,2014,2,39.79467892411329,40.5507147863867,43.5595357498045,2014-02-01
14,0.0071093662710827845,2014,3,40.31429526164449,39.1688663366842,40.333382756249,2014-03-01
14,0.0071093662710827845,2014,4,48.3056732931995,40.0036708920944,42.6719933564589,2014-04-01
14,0.0071093662710827845,2014,5,43.58345752303988,41.4698345946414,39.8435210040486,2014-05-01
14,0.0071093662710827845,2014,6,39.00441215661458,46.1984845714102,39.4011763106138,2014-06-01
14,0.0071093662710827845,2014,7,46.41869625421593,46.8767165086491,42.6564183389162,2014-07-01
14,0.0071093662710827845,2014,8,43.27544556962704,45.246495148809,39.9498938636086,2014-08-01
14,0.0071093662710827845,2014,9,33.65030412676593,36.2432135115929,40.7307648665664,2014-09-01
14,0.0071093662710827845,2014,10,39.023397738004505,34.3308299240178,39.2466831726946,2014-10-01
14,0.0071093662710827845,2014,11,36.502242183675996,36.4040758302433,36.6245713400252,2014-11-01
14,0.0071093662710827845,2014,12,33.796233683541146,38.3119244000526,35.6113778389766,2014-12-01
14,0.0071093662710827845,2015,1,35.56758443570686,40.4351121581914,40.6233282606909,2015-01-01
14,0.0071093662710827845,2015,2,38.21813617212542,41.862716517406,41.4446414962576,2015-02-01
14,0.0071093662710827845,2015,3,42.39416106118339,43.9230828008522,43.6444823896855,2015-03-01
14,0.0071093662710827845,2015,4,44.227965044224916,42.7193714359559,45.7748387074028,2015-04-01
14,0.0071093662710827845,2015,5,43.139127467124396,46.041704675894,43.5386171480685,2015-05-01
14,0.0071093662710827845,2015,6,46.066974739657184,46.5310407805877,43.4375246680306,2015-06-01
14,0.0071093662710827845,2015,7,44.036665049748194,49.1340168659524,42.0698780049277,2015-07-01
14,0.0071093662710827845,2015,8,48.12923166241635,46.788206762691,45.2061093006287,2015-08-01
14,0.0071093662710827845,2015,9,43.20548877272977,36.1709420535705,41.2773982459624,2015-09-01
